Parameter,Min,Max,Default,Current
osd_memory_target,18147483648.0,25589934592.0,20294967296.0,22287410223
bluestore_cache_size_ssd,1147483648.0,6000000000.0,3221225472.0,1488163268
bluestore_cache_size_hdd,1147483648.0,6000000000.0,3221225472.0,11042925499
mon_max_pg_per_osd,250.0,10000.0,3000.0,9785
mon_max_pool_pg_num,30000.0,1000000.0,300000.0,404365
ms_dispatch_throttle_bytes,1597152000.0,4097152000.0,2097152000.0,2511796002
osd_max_write_size,90.0,300.0,256.0,233
osd_map_cache_size,500.0,2048.0,1000.0,2045
objecter_inflight_ops,1024.0,9096.0,1024.0,2334
bluestore_cache_meta_ratio,45.0,79.0,75.0,76
bluestore_cache_kv_ratio,5.0,20.0,20.0,19
osd_deep_scrub_randomize_ratio,10.0,55.0,10.0,36
,,,,
osd_pool_default_size,,,,
osd_pool_default_min_size,,,,
ms_bind_before_connect,,,,True
throttler_perf_counter,,,,False
mon_allow_pool_delete,,,,True 
rbd_cache,,,,False
,,,,
,,,,
,,,,
,,,,
rbd_cache,,,,
